property1,section,ticket,type,price,lat,lon
Ickworth,"Winter: House, Parkland and Gardens",Child,Gift aid,£5.00,52.222136,0.6563212
Ickworth,"Winter: House, Parkland and Gardens",Child,Standard,£4.50,52.222136,0.6563212
Ickworth,"Winter: House, Parkland and Gardens",Family,Gift aid,£25.00,52.222136,0.6563212
Ickworth,"Winter: House, Parkland and Gardens",Family,Standard,£22.50,52.222136,0.6563212
Ickworth,"Winter: House, Parkland and Gardens",One Adult 2 Children,Gift aid,£15.00,52.222136,0.6563212
Ickworth,"Winter: House, Parkland and Gardens",One Adult 2 Children,Standard,£13.50,52.222136,0.6563212
Ickworth,"Winter: House, Parkland and Gardens",Group Adult,Gift aid,N/A,52.222136,0.6563212
Ickworth,"Winter: House, Parkland and Gardens",Group Adult,Standard,£7.65,52.222136,0.6563212
Ickworth,"Winter: House, Parkland and Gardens",Group Child,Gift aid,N/A,52.222136,0.6563212
Ickworth,"Winter: House, Parkland and Gardens",Group Child,Standard,£3.80,52.222136,0.6563212
Ickworth,Winter: Parkland and Gardens only,Adult,Gift aid,£6.00,52.222136,0.6563212
Ickworth,Winter: Parkland and Gardens only,Adult,Standard,£5.40,52.222136,0.6563212
Ickworth,Winter: Parkland and Gardens only,Child,Gift aid,£3.00,52.222136,0.6563212
Ickworth,Winter: Parkland and Gardens only,Child,Standard,£2.70,52.222136,0.6563212
Ickworth,Winter: Parkland and Gardens only,Family,Gift aid,£15.00,52.222136,0.6563212
Ickworth,Winter: Parkland and Gardens only,Family,Standard,£13.50,52.222136,0.6563212
Ickworth,Winter: Parkland and Gardens only,One Adult 2 Children,Gift aid,£9.00,52.222136,0.6563212
Ickworth,Winter: Parkland and Gardens only,One Adult 2 Children,Standard,£8.10,52.222136,0.6563212
Ickworth,Winter: Parkland and Gardens only,Group Adult,Gift aid,N/A,52.222136,0.6563212
Ickworth,Winter: Parkland and Gardens only,Group Adult,Standard,£4.60,52.222136,0.6563212
Ickworth,Winter: Parkland and Gardens only,Group Child,Gift aid,N/A,52.222136,0.6563212
Ickworth,Winter: Parkland and Gardens only,Group Child,Standard,£2.30,52.222136,0.6563212
Stoke-sub-Hamdon Priory,Whole property,Adult,Gift aid,N/A,50.952,-2.75451
Stoke-sub-Hamdon Priory,Whole property,Adult,Standard,£4.00,50.952,-2.75451
Stoke-sub-Hamdon Priory,Whole property,Child,Gift aid,N/A,50.952,-2.75451
Stoke-sub-Hamdon Priory,Whole property,Child,Standard,£2.00,50.952,-2.75451
Trengwainton Garden,Whole property,Adult,Gift aid,£9.50,50.127899,-5.5695
Trengwainton Garden,Whole property,Adult,Standard,£8.60,50.127899,-5.5695
Trengwainton Garden,Whole property,Child,Gift aid,£4.80,50.127899,-5.5695
Trengwainton Garden,Whole property,Child,Standard,£4.30,50.127899,-5.5695
Trengwainton Garden,Whole property,Family,Gift aid,£23.70,50.127899,-5.5695
Trengwainton Garden,Whole property,Family,Standard,£21.50,50.127899,-5.5695
Trengwainton Garden,Whole property,"1 adult, 3 children",Gift aid,£14.20,50.127899,-5.5695
Trengwainton Garden,Whole property,"1 adult, 3 children",Standard,£12.90,50.127899,-5.5695
Trengwainton Garden,Whole property,Group Adult,Gift aid,N/A,50.127899,-5.5695
Trengwainton Garden,Whole property,Group Adult,Standard,£8.00,50.127899,-5.5695
Trengwainton Garden,Whole property,Group Child,Gift aid,N/A,50.127899,-5.5695
Trengwainton Garden,Whole property,Group Child,Standard,£4.00,50.127899,-5.5695
Chirk Castle,Whole property,Adult,Gift aid,£14.00,52.935902,-3.08353
Chirk Castle,Whole property,Adult,Standard,£12.60,52.935902,-3.08353
Chirk Castle,Whole property,Child,Gift aid,£7.00,52.935902,-3.08353
Chirk Castle,Whole property,Child,Standard,£6.30,52.935902,-3.08353
Chirk Castle,Whole property,Family,Gift aid,£35.00,52.935902,-3.08353
Chirk Castle,Whole property,Family,Standard,£31.50,52.935902,-3.08353
Chirk Castle,Whole property,Group Adult,Gift aid,N/A,52.935902,-3.08353
Chirk Castle,Whole property,Group Adult,Standard,£10.70,52.935902,-3.08353
Chirk Castle,Whole property,Group Child,Gift aid,N/A,52.935902,-3.08353
Chirk Castle,Whole property,Group Child,Standard,£5.35,52.935902,-3.08353
Chirk Castle,Whole property: off-peak,Adult,Gift aid,£7.00,52.935902,-3.08353
Chirk Castle,Whole property: off-peak,Adult,Standard,£6.30,52.935902,-3.08353
Chirk Castle,Whole property: off-peak,Child,Gift aid,£3.50,52.935902,-3.08353
Chirk Castle,Whole property: off-peak,Child,Standard,£3.15,52.935902,-3.08353
Chirk Castle,Whole property: off-peak,Family,Gift aid,£17.50,52.935902,-3.08353
Chirk Castle,Whole property: off-peak,Family,Standard,£15.75,52.935902,-3.08353
Chirk Castle,Whole property: off-peak,Group Adult,Gift aid,N/A,52.935902,-3.08353
Chirk Castle,Whole property: off-peak,Group Adult,Standard,£5.35,52.935902,-3.08353
Chirk Castle,Whole property: off-peak,Group Child,Gift aid,N/A,52.935902,-3.08353
Chirk Castle,Whole property: off-peak,Group Child,Standard,£2.67,52.935902,-3.08353
Hardwick Estate: Stainsby Mill,Whole property,Adult,Gift aid,£5.60,53.183275,-1.31952
Hardwick Estate: Stainsby Mill,Whole property,Adult,Standard,£5.09,53.183275,-1.31952
Hardwick Estate: Stainsby Mill,Whole property,Child,Gift aid,£2.80,53.183275,-1.31952
Hardwick Estate: Stainsby Mill,Whole property,Child,Standard,£2.54,53.183275,-1.31952
Hardwick Estate: Stainsby Mill,Whole property,Family,Gift aid,£14.00,53.183275,-1.31952
Hardwick Estate: Stainsby Mill,Whole property,Family,Standard,£12.72,53.183275,-1.31952
Lodge Park and Sherborne Estate,Lodge Park,Adult,Gift aid,£6.90,51.8069,-1.79225
Lodge Park and Sherborne Estate,Lodge Park,Adult,Standard,£6.20,51.8069,-1.79225
Lodge Park and Sherborne Estate,Lodge Park,Child,Gift aid,£3.50,51.8069,-1.79225
Lodge Park and Sherborne Estate,Lodge Park,Child,Standard,£3.10,51.8069,-1.79225
Lodge Park and Sherborne Estate,Lodge Park,Family,Gift aid,£17.30,51.8069,-1.79225
Lodge Park and Sherborne Estate,Lodge Park,Family,Standard,£15.50,51.8069,-1.79225
Lodge Park and Sherborne Estate,Lodge Park,Group Adult,Gift aid,N/A,51.8069,-1.79225
Lodge Park and Sherborne Estate,Lodge Park,Group Adult,Standard,£5.60,51.8069,-1.79225
Mottisfont,Standard price,Adult,Gift aid,£15.80,51.040901,-1.53573
Mottisfont,Standard price,Adult,Standard,£14.30,51.040901,-1.53573
Mottisfont,Standard price,Child,Gift aid,£7.90,51.040901,-1.53573
Mottisfont,Standard price,Child,Standard,£7.15,51.040901,-1.53573
Mottisfont,Standard price,Family,Gift aid,£39.50,51.040901,-1.53573
Mottisfont,Standard price,Family,Standard,£35.75,51.040901,-1.53573
Mottisfont,Standard price,Group Adult,Gift aid,N/A,51.040901,-1.53573
Mottisfont,Standard price,Group Adult,Standard,£10.00,51.040901,-1.53573
"The Workhouse, Southwell",Whole property,Adult,Gift aid,£10.05,53.0811,-0.93707
"The Workhouse, Southwell",Whole property,Adult,Standard,£9.10,53.0811,-0.93707
"The Workhouse, Southwell",Whole property,Child,Gift aid,£5.01,53.0811,-0.93707
"The Workhouse, Southwell",Whole property,Child,Standard,£4.55,53.0811,-0.93707
"The Workhouse, Southwell",Whole property,Family,Gift aid,£25.05,53.0811,-0.93707
"The Workhouse, Southwell",Whole property,Family,Standard,£22.75,53.0811,-0.93707
"The Workhouse, Southwell",Whole property,Family one adult,Gift aid,£15.05,53.0811,-0.93707
"The Workhouse, Southwell",Whole property,Family one adult,Standard,£13.65,53.0811,-0.93707
"The Workhouse, Southwell",Whole property,Group Adult,Gift aid,N/A,53.0811,-0.93707
"The Workhouse, Southwell",Whole property,Group Adult,Standard,£8.60,53.0811,-0.93707
"The Workhouse, Southwell",Whole property,Group Child,Gift aid,N/A,53.0811,-0.93707
"The Workhouse, Southwell",Whole property,Group Child,Standard,£4.30,53.0811,-0.93707
Dyffryn Gardens,Whole property,Adult,Gift aid,£11.00,51.437563,-3.304228
Dyffryn Gardens,Whole property,Adult,Standard,£9.90,51.437563,-3.304228
Dyffryn Gardens,Whole property,Child,Gift aid,£5.50,51.437563,-3.304228
Dyffryn Gardens,Whole property,Child,Standard,£4.95,51.437563,-3.304228
Dyffryn Gardens,Whole property,Family,Gift aid,£28.00,51.437563,-3.304228
Dyffryn Gardens,Whole property,Family,Standard,£25.00,51.437563,-3.304228
Dyffryn Gardens,Whole property,Group Adult,Gift aid,N/A,51.437563,-3.304228
Dyffryn Gardens,Whole property,Group Adult,Standard,£8.70,51.437563,-3.304228
Dyffryn Gardens,Whole property,Group Child,Gift aid,N/A,51.437563,-3.304228
Dyffryn Gardens,Whole property,Group Child,Standard,£4.35,51.437563,-3.304228
Lindisfarne Castle,Whole Property,Adult,Gift aid,£8.10,55.6698,-1.78756
Lindisfarne Castle,Whole Property,Adult,Standard,£7.30,55.6698,-1.78756
Lindisfarne Castle,Whole Property,Child,Gift aid,£4.10,55.6698,-1.78756
Lindisfarne Castle,Whole Property,Child,Standard,£3.60,55.6698,-1.78756
Lindisfarne Castle,Whole Property,Family,Gift aid,£20.20,55.6698,-1.78756
Lindisfarne Castle,Whole Property,Family,Standard,£18.10,55.6698,-1.78756
Lindisfarne Castle,Whole Property,Family with 1 adult,Gift aid,£12.00,55.6698,-1.78756
Lindisfarne Castle,Whole Property,Family with 1 adult,Standard,£10.90,55.6698,-1.78756
Lindisfarne Castle,Whole Property,Group Adult,Gift aid,N/A,55.6698,-1.78756
Lindisfarne Castle,Whole Property,Group Adult,Standard,£6.20,55.6698,-1.78756
Lindisfarne Castle,Whole Property,Group Child,Gift aid,N/A,55.6698,-1.78756
Lindisfarne Castle,Whole Property,Group Child,Standard,£3.10,55.6698,-1.78756
Osterley Park and House,House & Gardens,Adult,Gift aid,£12.70,51.489498,-0.35289
Osterley Park and House,House & Gardens,Adult,Standard,£11.40,51.489498,-0.35289
Osterley Park and House,House & Gardens,Child,Gift aid,£6.35,51.489498,-0.35289
Osterley Park and House,House & Gardens,Child,Standard,£5.70,51.489498,-0.35289
Osterley Park and House,House & Gardens,Family,Gift aid,£31.75,51.489498,-0.35289
Osterley Park and House,House & Gardens,Family,Standard,£28.50,51.489498,-0.35289
Osterley Park and House,House & Gardens,Group Adult,Gift aid,N/A,51.489498,-0.35289
Osterley Park and House,House & Gardens,Group Adult,Standard,£10.80,51.489498,-0.35289
Osterley Park and House,Winter admission,Adult,Gift aid,£10.10,51.489498,-0.35289
Osterley Park and House,Winter admission,Adult,Standard,£9.05,51.489498,-0.35289
Osterley Park and House,Winter admission,Child,Gift aid,£5.05,51.489498,-0.35289
Osterley Park and House,Winter admission,Child,Standard,£4.50,51.489498,-0.35289
Osterley Park and House,Winter admission,Family,Gift aid,£25.40,51.489498,-0.35289
Osterley Park and House,Winter admission,Family,Standard,£22.85,51.489498,-0.35289
Osterley Park and House,Winter admission,Group Adult,Gift aid,N/A,51.489498,-0.35289
Osterley Park and House,Winter admission,Group Adult,Standard,£8.60,51.489498,-0.35289
"Anglesey Abbey, Gardens and Lode Mill","Whole property (House, Garden & Mill)",Adult,Gift aid,£16.50,52.235915,0.2448
"Anglesey Abbey, Gardens and Lode Mill","Whole property (House, Garden & Mill)",Adult,Standard,£15.00,52.235915,0.2448
"Anglesey Abbey, Gardens and Lode Mill","Whole property (House, Garden & Mill)",Child,Gift aid,£8.60,52.235915,0.2448
"Anglesey Abbey, Gardens and Lode Mill","Whole property (House, Garden & Mill)",Child,Standard,£7.80,52.235915,0.2448
"Anglesey Abbey, Gardens and Lode Mill","Whole property (House, Garden & Mill)",Family,Gift aid,£43.45,52.235915,0.2448
"Anglesey Abbey, Gardens and Lode Mill","Whole property (House, Garden & Mill)",Family,Standard,£39.50,52.235915,0.2448
"Anglesey Abbey, Gardens and Lode Mill","Whole property (House, Garden & Mill)",1 adult and up to 3 children,Gift aid,£26.00,52.235915,0.2448
"Anglesey Abbey, Gardens and Lode Mill","Whole property (House, Garden & Mill)",1 adult and up to 3 children,Standard,£23.60,52.235915,0.2448
"Anglesey Abbey, Gardens and Lode Mill","Whole property (House, Garden & Mill)",Group Adult,Gift aid,N/A,52.235915,0.2448
"Anglesey Abbey, Gardens and Lode Mill","Whole property (House, Garden & Mill)",Group Adult,Standard,£13.40,52.235915,0.2448
"Anglesey Abbey, Gardens and Lode Mill","Whole property (House, Garden & Mill)",Group Child,Gift aid,N/A,52.235915,0.2448
"Anglesey Abbey, Gardens and Lode Mill","Whole property (House, Garden & Mill)",Group Child,Standard,£6.70,52.235915,0.2448
Grange Barn,Joint Entry to Coggeshall Properties,Adult,Gift aid,N/A,51.869099,0.68332
Grange Barn,Joint Entry to Coggeshall Properties,Adult,Standard,£7.50,51.869099,0.68332
Grange Barn,Joint Entry to Coggeshall Properties,Child,Gift aid,N/A,51.869099,0.68332
Grange Barn,Joint Entry to Coggeshall Properties,Child,Standard,£3.75,51.869099,0.68332
Wightwick Manor and Gardens,Whole property,Adult,Gift aid,£12.50,52.582765,-2.196453
Wightwick Manor and Gardens,Whole property,Adult,Standard,£11.35,52.582765,-2.196453
Wightwick Manor and Gardens,Whole property,Child,Gift aid,£6.25,52.582765,-2.196453
Wightwick Manor and Gardens,Whole property,Child,Standard,£5.60,52.582765,-2.196453
Wightwick Manor and Gardens,Whole property,Family,Gift aid,£31.25,52.582765,-2.196453
Wightwick Manor and Gardens,Whole property,Family,Standard,£28.30,52.582765,-2.196453
Wightwick Manor and Gardens,Whole property,"1 adult, 2 children",Gift aid,£18.75,52.582765,-2.196453
Wightwick Manor and Gardens,Whole property,"1 adult, 2 children",Standard,£16.95,52.582765,-2.196453
Wightwick Manor and Gardens,Whole property,Group Adult,Gift aid,N/A,52.582765,-2.196453
Wightwick Manor and Gardens,Whole property,Group Adult,Standard,£10.50,52.582765,-2.196453
Wightwick Manor and Gardens,Whole property,Group Child,Gift aid,N/A,52.582765,-2.196453
Wightwick Manor and Gardens,Whole property,Group Child,Standard,£5.25,52.582765,-2.196453
Wightwick Manor and Gardens,Gallery and Garden only,Adult,Gift aid,£8.50,52.582765,-2.196453
Wightwick Manor and Gardens,Gallery and Garden only,Adult,Standard,£7.70,52.582765,-2.196453
Wightwick Manor and Gardens,Gallery and Garden only,Child,Gift aid,£4.25,52.582765,-2.196453
Wightwick Manor and Gardens,Gallery and Garden only,Child,Standard,£3.85,52.582765,-2.196453
Wightwick Manor and Gardens,Gallery and Garden only,Family,Gift aid,£21.25,52.582765,-2.196453
Wightwick Manor and Gardens,Gallery and Garden only,Family,Standard,£19.25,52.582765,-2.196453
Wightwick Manor and Gardens,Gallery and Garden only,"1 adult, 2 children",Gift aid,£12.75,52.582765,-2.196453
Wightwick Manor and Gardens,Gallery and Garden only,"1 adult, 2 children",Standard,£11.55,52.582765,-2.196453
Wightwick Manor and Gardens,Gallery and Garden only,Group Adult,Gift aid,N/A,52.582765,-2.196453
Wightwick Manor and Gardens,Gallery and Garden only,Group Adult,Standard,£6.50,52.582765,-2.196453
Wightwick Manor and Gardens,Gallery and Garden only,Group Child,Gift aid,N/A,52.582765,-2.196453
Wightwick Manor and Gardens,Gallery and Garden only,Group Child,Standard,£3.25,52.582765,-2.196453
Biddulph Grange Garden,Whole property,Adult,Gift aid,£10.00,53.129601,-2.15629
Biddulph Grange Garden,Whole property,Adult,Standard,£9.05,53.129601,-2.15629
Biddulph Grange Garden,Whole property,Child,Gift aid,£5.00,53.129601,-2.15629
Biddulph Grange Garden,Whole property,Child,Standard,£4.50,53.129601,-2.15629
Biddulph Grange Garden,Whole property,Family,Gift aid,£25.00,53.129601,-2.15629
Biddulph Grange Garden,Whole property,Family,Standard,£22.70,53.129601,-2.15629
Biddulph Grange Garden,Whole property,Group Adult,Gift aid,N/A,53.129601,-2.15629
Biddulph Grange Garden,Whole property,Group Adult,Standard,£8.20,53.129601,-2.15629
Lydford Gorge,Gorge,Adult,Gift aid,£10.40,50.639999,-4.11058
Lydford Gorge,Gorge,Adult,Standard,£9.40,50.639999,-4.11058
Lydford Gorge,Gorge,Child,Gift aid,£5.20,50.639999,-4.11058
Lydford Gorge,Gorge,Child,Standard,£4.70,50.639999,-4.11058
Lydford Gorge,Gorge,Family,Gift aid,£26.00,50.639999,-4.11058
Lydford Gorge,Gorge,Family,Standard,£23.50,50.639999,-4.11058
Lydford Gorge,Gorge,Family one adult,Gift aid,£15.60,50.639999,-4.11058
Lydford Gorge,Gorge,Family one adult,Standard,£14.10,50.639999,-4.11058
Lydford Gorge,Gorge,Group Adult,Gift aid,N/A,50.639999,-4.11058
Lydford Gorge,Gorge,Group Adult,Standard,£8.80,50.639999,-4.11058
Lydford Gorge,Gorge,Group Child,Gift aid,N/A,50.639999,-4.11058
Lydford Gorge,Gorge,Group Child,Standard,£4.40,50.639999,-4.11058
Kingston Lacy,March to October,Adult,Gift aid,£15.00,50.810398,-2.0306
Kingston Lacy,March to October,Adult,Standard,£13.60,50.810398,-2.0306
Kingston Lacy,March to October,Child,Gift aid,£7.50,50.810398,-2.0306
Kingston Lacy,March to October,Child,Standard,£6.80,50.810398,-2.0306
Kingston Lacy,March to October,Family,Gift aid,£37.50,50.810398,-2.0306
Kingston Lacy,March to October,Family,Standard,£34.00,50.810398,-2.0306
Kingston Lacy,March to October,Group Adult,Gift aid,N/A,50.810398,-2.0306
Kingston Lacy,March to October,Group Adult,Standard,£12.70,50.810398,-2.0306
Kingston Lacy,March to October,Group Child,Gift aid,N/A,50.810398,-2.0306
Kingston Lacy,March to October,Group Child,Standard,£6.30,50.810398,-2.0306
Kingston Lacy,Twilight Tickets,Adult,Gift aid,£10.50,50.810398,-2.0306
Kingston Lacy,Twilight Tickets,Adult,Standard,£9.50,50.810398,-2.0306
Kingston Lacy,Twilight Tickets,Child,Gift aid,£5.25,50.810398,-2.0306
Kingston Lacy,Twilight Tickets,Child,Standard,£4.75,50.810398,-2.0306
The Vyne,Admission,Adult,Gift aid,£13.00,51.313783,-1.08401
The Vyne,Admission,Adult,Standard,£11.75,51.313783,-1.08401
The Vyne,Admission,Child,Gift aid,£6.50,51.313783,-1.08401
The Vyne,Admission,Child,Standard,£5.90,51.313783,-1.08401
The Vyne,Admission,Family,Gift aid,£32.00,51.313783,-1.08401
The Vyne,Admission,Family,Standard,£28.80,51.313783,-1.08401
The Vyne,Admission,Group Adult,Gift aid,N/A,51.313783,-1.08401
The Vyne,Admission,Group Adult,Standard,£10.80,51.313783,-1.08401
Cwmmau Farmhouse,Whole property,Adult,Gift aid,£6.00,52.153999,-3.05911
Cwmmau Farmhouse,Whole property,Adult,Standard,£5.40,52.153999,-3.05911
Cwmmau Farmhouse,Whole property,Child,Gift aid,£3.00,52.153999,-3.05911
Cwmmau Farmhouse,Whole property,Child,Standard,£2.70,52.153999,-3.05911
Cwmmau Farmhouse,Whole property,Family,Gift aid,£15.00,52.153999,-3.05911
Cwmmau Farmhouse,Whole property,Family,Standard,£13.50,52.153999,-3.05911
Cwmmau Farmhouse,Whole property,"1 adult, 2 children",Gift aid,£12.00,52.153999,-3.05911
Cwmmau Farmhouse,Whole property,"1 adult, 2 children",Standard,£10.80,52.153999,-3.05911
Farne Islands,"Inner Farne March, April and August to October",Adult,Gift aid,£8.10,55.616001,-1.6538
Farne Islands,"Inner Farne March, April and August to October",Adult,Standard,£7.35,55.616001,-1.6538
Farne Islands,"Inner Farne March, April and August to October",Child,Gift aid,£4.10,55.616001,-1.6538
Farne Islands,"Inner Farne March, April and August to October",Child,Standard,£3.70,55.616001,-1.6538
Farne Islands,"Inner Farne March, April and August to October",Family,Gift aid,£20.25,55.616001,-1.6538
Farne Islands,"Inner Farne March, April and August to October",Family,Standard,£18.40,55.616001,-1.6538
Farne Islands,"Inner Farne March, April and August to October",1 adult family,Gift aid,£12.20,55.616001,-1.6538
Farne Islands,"Inner Farne March, April and August to October",1 adult family,Standard,£11.05,55.616001,-1.6538
Farne Islands,"Inner Farne March, April and August to October",Group Adult,Gift aid,N/A,55.616001,-1.6538
Farne Islands,"Inner Farne March, April and August to October",Group Adult,Standard,£6.90,55.616001,-1.6538
Farne Islands,"Inner Farne March, April and August to October",Group Child,Gift aid,N/A,55.616001,-1.6538
Farne Islands,"Inner Farne March, April and August to October",Group Child,Standard,£3.50,55.616001,-1.6538
Farne Islands,Staple May-July,Adult,Gift aid,£10.40,55.616001,-1.6538
Farne Islands,Staple May-July,Adult,Standard,£9.45,55.616001,-1.6538
Farne Islands,Staple May-July,Child,Gift aid,£5.25,55.616001,-1.6538
Farne Islands,Staple May-July,Child,Standard,£4.75,55.616001,-1.6538
Farne Islands,Staple May-July,Family,Gift aid,£26.05,55.616001,-1.6538
Farne Islands,Staple May-July,Family,Standard,£23.65,55.616001,-1.6538
Farne Islands,Staple May-July,Family with 1 adult,Gift aid,£15.65,55.616001,-1.6538
Farne Islands,Staple May-July,Family with 1 adult,Standard,£14.20,55.616001,-1.6538
Farne Islands,Staple May-July,Group Adult,Gift aid,N/A,55.616001,-1.6538
Farne Islands,Staple May-July,Group Adult,Standard,£8.85,55.616001,-1.6538
Farne Islands,Staple May-July,Group Child,Gift aid,N/A,55.616001,-1.6538
Farne Islands,Staple May-July,Group Child,Standard,£4.50,55.616001,-1.6538
Farne Islands,"Inner Farne May, June, July",Adult,Gift aid,£10.40,55.616001,-1.6538
Farne Islands,"Inner Farne May, June, July",Adult,Standard,£9.45,55.616001,-1.6538
Farne Islands,"Inner Farne May, June, July",Child,Gift aid,£5.25,55.616001,-1.6538
Farne Islands,"Inner Farne May, June, July",Child,Standard,£4.75,55.616001,-1.6538
Farne Islands,"Inner Farne May, June, July",Family,Gift aid,£26.05,55.616001,-1.6538
Farne Islands,"Inner Farne May, June, July",Family,Standard,£23.65,55.616001,-1.6538
Farne Islands,"Inner Farne May, June, July",1 adult family,Gift aid,£15.65,55.616001,-1.6538
Farne Islands,"Inner Farne May, June, July",1 adult family,Standard,£14.20,55.616001,-1.6538
Farne Islands,"Inner Farne May, June, July",Group Adult,Gift aid,N/A,55.616001,-1.6538
Farne Islands,"Inner Farne May, June, July",Group Adult,Standard,£8.85,55.616001,-1.6538
Farne Islands,"Inner Farne May, June, July",Group Child,Gift aid,N/A,55.616001,-1.6538
Farne Islands,"Inner Farne May, June, July",Group Child,Standard,£4.50,55.616001,-1.6538
Farne Islands,"All day ticket Inner Farne & Staple, May - July*",Adult,Gift aid,£30.05,55.616001,-1.6538
Farne Islands,"All day ticket Inner Farne & Staple, May - July*",Adult,Standard,£27.30,55.616001,-1.6538
Farne Islands,"All day ticket Inner Farne & Staple, May - July*",Child,Gift aid,£15.05,55.616001,-1.6538
Farne Islands,"All day ticket Inner Farne & Staple, May - July*",Child,Standard,£13.65,55.616001,-1.6538
Farne Islands,"All day ticket Inner Farne & Staple, May - July*",Family,Gift aid,£75.15,55.616001,-1.6538
Farne Islands,"All day ticket Inner Farne & Staple, May - July*",Family,Standard,£68.25,55.616001,-1.6538
Farne Islands,"All day ticket Inner Farne & Staple, May - July*",1 adult family,Gift aid,£45.10,55.616001,-1.6538
Farne Islands,"All day ticket Inner Farne & Staple, May - July*",1 adult family,Standard,£40.95,55.616001,-1.6538
Farne Islands,"All day ticket Inner Farne & Staple, May - July*",Group Adult,Gift aid,N/A,55.616001,-1.6538
Farne Islands,"All day ticket Inner Farne & Staple, May - July*",Group Adult,Standard,£25.54,55.616001,-1.6538
Farne Islands,"All day ticket Inner Farne & Staple, May - July*",Group Child,Gift aid,N/A,55.616001,-1.6538
Farne Islands,"All day ticket Inner Farne & Staple, May - July*",Group Child,Standard,£12.79,55.616001,-1.6538
Moseley Old Hall,Whole property,Adult,Gift aid,£9.00,52.635101,-2.10463
Moseley Old Hall,Whole property,Adult,Standard,£8.15,52.635101,-2.10463
Moseley Old Hall,Whole property,Child,Gift aid,£4.50,52.635101,-2.10463
Moseley Old Hall,Whole property,Child,Standard,£4.05,52.635101,-2.10463
Moseley Old Hall,Whole property,Family,Gift aid,£22.50,52.635101,-2.10463
Moseley Old Hall,Whole property,Family,Standard,£20.45,52.635101,-2.10463
Moseley Old Hall,Whole property,Group Adult,Gift aid,N/A,52.635101,-2.10463
Moseley Old Hall,Whole property,Group Adult,Standard,£7.65,52.635101,-2.10463
Moseley Old Hall,"Garden, woodland and treehouse only",Adult,Gift aid,£5.50,52.635101,-2.10463
Moseley Old Hall,"Garden, woodland and treehouse only",Adult,Standard,£5.00,52.635101,-2.10463
Moseley Old Hall,"Garden, woodland and treehouse only",Child,Gift aid,£2.75,52.635101,-2.10463
Moseley Old Hall,"Garden, woodland and treehouse only",Child,Standard,£2.50,52.635101,-2.10463
Moseley Old Hall,"Garden, woodland and treehouse only",Family,Gift aid,£13.75,52.635101,-2.10463
Moseley Old Hall,"Garden, woodland and treehouse only",Family,Standard,£12.50,52.635101,-2.10463
Rufford Old Hall,Whole property,Adult,Gift aid,£10.00,53.63775,-2.81365
Rufford Old Hall,Whole property,Adult,Standard,£9.00,53.63775,-2.81365
Rufford Old Hall,Whole property,Child,Gift aid,£5.00,53.63775,-2.81365
Rufford Old Hall,Whole property,Child,Standard,£4.50,53.63775,-2.81365
Rufford Old Hall,Whole property,Family,Gift aid,£24.95,53.63775,-2.81365
Rufford Old Hall,Whole property,Family,Standard,£22.35,53.63775,-2.81365
Rufford Old Hall,Whole property,Group Adult,Gift aid,N/A,53.63775,-2.81365
Rufford Old Hall,Whole property,Group Adult,Standard,£7.35,53.63775,-2.81365
Rufford Old Hall,Whole property,Group Child,Gift aid,N/A,53.63775,-2.81365
Rufford Old Hall,Whole property,Group Child,Standard,£3.70,53.63775,-2.81365
Lanhydrock,Whole property,Adult,Gift aid,£15.95,50.4403,-4.69638
Lanhydrock,Whole property,Adult,Standard,£14.35,50.4403,-4.69638
Lanhydrock,Whole property,Child,Gift aid,£8.00,50.4403,-4.69638
Lanhydrock,Whole property,Child,Standard,£7.20,50.4403,-4.69638
Lanhydrock,Whole property,Family,Gift aid,£39.90,50.4403,-4.69638
Lanhydrock,Whole property,Family,Standard,£35.90,50.4403,-4.69638
Lanhydrock,Whole property,1 adult and up to 3 children,Gift aid,£23.95,50.4403,-4.69638
Lanhydrock,Whole property,1 adult and up to 3 children,Standard,£21.55,50.4403,-4.69638
Lanhydrock,Whole property,Group Adult,Gift aid,N/A,50.4403,-4.69638
Lanhydrock,Whole property,Group Adult,Standard,£13.55,50.4403,-4.69638
Lanhydrock,Whole property,Group Child,Gift aid,N/A,50.4403,-4.69638
Lanhydrock,Whole property,Group Child,Standard,£6.80,50.4403,-4.69638
Lanhydrock,Winter admission,Adult,Gift aid,£8.80,50.4403,-4.69638
Lanhydrock,Winter admission,Adult,Standard,£7.90,50.4403,-4.69638
Lanhydrock,Winter admission,Child,Gift aid,£4.40,50.4403,-4.69638
Lanhydrock,Winter admission,Child,Standard,£4.00,50.4403,-4.69638
Lanhydrock,Winter admission,Family,Gift aid,£22.00,50.4403,-4.69638
Lanhydrock,Winter admission,Family,Standard,£19.80,50.4403,-4.69638
Lanhydrock,Winter admission,1 adult and up to 3 children,Gift aid,£13.20,50.4403,-4.69638
Lanhydrock,Winter admission,1 adult and up to 3 children,Standard,£11.90,50.4403,-4.69638
Lanhydrock,Winter admission,Group Adult,Gift aid,N/A,50.4403,-4.69638
Lanhydrock,Winter admission,Group Adult,Standard,£7.50,50.4403,-4.69638
Lanhydrock,Winter admission,Group Child,Gift aid,N/A,50.4403,-4.69638
Lanhydrock,Winter admission,Group Child,Standard,£3.75,50.4403,-4.69638
St John's Jerusalem,Whole property,Adult,Gift aid,N/A,51.4095,0.24053
St John's Jerusalem,Whole property,Adult,Standard,£2.50,51.4095,0.24053
